Alkaline_phos_U_l__T1,-50779979.184294,110113650.894993,-266602734.93848,165042776.569892,-0.46116,0.645448781679282
bmi_zscore_T2,0,0,0,0,0.426626,0.670352170218939
BMIz__Orbegozo__T1,-715783.720436,1750008.708171,-4145800.788452,2714233.34758,-0.409017,0.683189879270261
sbp_T2,-5060060.221681,12535005.496415,-29628670.994654,19508550.551293,-0.403674,0.687141930792073
WC_T1,3433879.075893,9131940.789571,-14464724.871667,21332483.023452,0.376029,0.707503237760835
Sedentary_20m15sEven_T1,22955865.05044,65419272.034372,-105265908.136929,151177638.237808,0.350904,0.726224265966689
weight_T2,2225434.310628,6859329.687035,-11218851.875961,15669720.497216,0.324439,0.746123152789147
HOMA_T1,397010.389049,1225400.285394,-2004774.170323,2798794.948422,0.323984,0.746466656019532
Altered_components_Metabolic_Syndrome,-269376.973265,841957.655957,-1919613.97894,1380860.032411,-0.319941,0.749551329263877
QUICKI_T1,-12332.962209,38797.023749,-88375.128756,63709.204338,-0.317884,0.751078914048439
Obesity_Cole,-190251.179874,666883.215979,-1497342.283193,1116839.923444,-0.285284,0.775877048188646
WC_Height_T1,11960.685235,55729.159166,-97268.46673,121189.837199,0.214622,0.830396034609652
pubertalstage_T2,0,0,0,0,-0.19023,0.849423361183245
Urea__mg_dl__T1,1083043.170692,5857050.209482,-10396775.239893,12562861.581277,0.184913,0.853583454530496
wc_T2,-1151402.186868,6732650.400692,-14347396.972224,12044592.598489,-0.171018,0.864479920347354
Light_20m15sEven_T1,7863818.506332,46576645.605726,-83426406.880891,99154043.893555,0.168836,0.866185987614861
hdl_T2,1588864.374813,12112963.909624,-22152544.88805,25330273.637677,0.131171,0.895846319219948
mvpa_20m15sEven_T2,-2160722.039193,17195625.10475,-35864147.244503,31542703.166117,-0.125655,0.900197396645595
HDLc__mg_dl__T1,-1486828.026652,11940269.366618,-24889755.985222,21916099.931919,-0.124522,0.901092737252339
Ferritin__ng_ml__T1,-2153484.708923,20594582.139455,-42518865.702254,38211896.284408,-0.104566,0.916880445208253
tg_T2,2769215.053797,32128781.112216,-60203195.926146,65741626.033741,0.086191,0.931449183895039
glucose_T2,-663986.092819,18755623.964991,-37425009.064201,36097036.878563,-0.035402,0.971813099128586
Insulin__mU_l__T1,-110507.494772,5644912.562541,-11174536.117353,10953521.127808,-0.019576,0.984411015445405
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
VARIABLE,beta,SE,ci.lo,ci.hi,t-value,pvalue
